post_id,tweet_text,tweet_date,primary_entity,match_tier,rel_reason,stance,stance_evidence,competitor_tickers,sector_etf,missing_bars,raw_1D,abn_1D,verdict_1D,raw_2D,abn_2D,verdict_2D,raw_3D,abn_3D,verdict_3D,raw_5D,abn_5D,verdict_5D,raw_10D,abn_10D,verdict_10D,raw_1mo,abn_1mo,verdict_1mo
114149845661093099,"Wow!!! People are loving Elon, a GREAT PATRIOT. Nice to see!!! DJT",2025-03-12,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114151257383811463,"Goldman Sachs CEO David Solomon: ""One of the things that I do like is that the President is engaged with the business community. The administration is engaged with the business community — and that's ",2025-03-12,GS,direct,direct: 'goldman sachs',no_clear_stance,,,XLF,0,-0.0203,-0.0123,no_claim,0.0107,-0.0043,no_claim,0.0293,0.0023,no_claim,0.0405,0.0034,no_claim,0.0714,0.0157,no_claim,-0.0856,-0.0496,no_claim
114151328220491045,"“GE Aerospace announced on Tuesday a nearly $1 billion investment in U.S. manufacturing, the latest company to do so under the Trump administration…It marks the latest company to put money back into t",2025-03-12,AAPL,direct,direct: 'apple',no_clear_stance,,,XLK,0,-0.029,-0.0129,no_claim,-0.0114,-0.025,no_claim,-0.009,-0.0297,no_claim,-0.0033,-0.0215,no_claim,0.0258,0.0126,no_claim,-0.1182,-0.0407,no_claim
114161025000723427,"Congratulations to Chuck Schumer for doing the right thing — Took “guts” and courage! The big Tax Cuts, L.A. fire fix, Debt Ceiling Bill, and so much more, is coming. We should all work together on th",2025-03-14,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114176199348948643,“Stranded NASA astronauts thank Musk and Trump”,2025-03-17,TSLA,direct,direct: 'musk',positive,thank,,XLY,0,-0.0288,-0.0302,opposite,-0.0806,-0.0642,opposite,-0.0375,-0.04,flat,0.0149,0.0112,flat,0.0755,0.0711,flat,0.0297,0.0599,flat
114179081339591399,"I just spoke with the Acting Administrator of NASA, Janet Petro. She is coordinating our Team of highly respected Scientists, Space Engineers, and various other “geniuses,” who has agreed to let our A",2025-03-17,TSLA,direct,direct: 'elon musk',no_clear_stance,,,XLY,0,-0.0125,-0.0039,no_claim,0.0337,0.0233,no_claim,0.0355,0.0275,no_claim,0.2202,0.1705,no_claim,0.1359,0.1214,no_claim,0.1137,0.1432,no_claim
114186559522815802,Wow. What a great interview of Elon Musk by Sean Hannity. A must watch. TWO GREAT AMERICANS!!!  DJT,2025-03-19,TSLA,direct,direct: 'elon musk',positive,great,,XLY,0,0.0183,0.0062,flat,0.0201,0.0104,flat,0.0738,0.0605,match,0.2441,0.1844,match,0.1591,0.1323,match,0.0429,0.0948,flat
114186559522815802,Wow. What a great interview of Elon Musk by Sean Hannity. A must watch. TWO GREAT AMERICANS!!!  DJT,2025-03-19,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114190845050387383,“TRUMP ON TESLA TERRORISM”,2025-03-19,TSLA,direct,direct: 'tesla',no_clear_stance,,,XLY,0,0.0125,0.0075,no_claim,0.0658,0.0572,no_claim,0.193,0.1466,no_claim,0.1659,0.1249,no_claim,0.2117,0.1703,no_claim,0.0344,0.0847,no_claim
114194879718374915,âNvidia to spend hundreds of billions in U.S. during Trump's termâ https://www.axios.com/2025/03/20/nvidia-spend-hundreds-billions-us-during-trump-term,2025-03-20,NVDA,direct,direct: 'nvidia',no_clear_stance,,,SOXX,0,0.017,0.0122,no_claim,0.0099,0.0156,no_claim,0.0417,0.0179,no_claim,-0.0239,-0.0137,no_claim,-0.0526,0.0025,no_claim,-0.1292,0.0402,no_claim
114195442142009895,Financial Times: “The huge spending projection from the world’s most valuable semiconductor group (Nvidia) follows multibillion-dollar US investment plans announced by other technology companies inclu,2025-03-20,AAPL,direct,direct: 'apple',no_clear_stance,,,XLK,0,0.0317,0.0163,no_claim,0.0433,0.0087,no_claim,0.0576,0.0196,no_claim,0.0581,0.0526,no_claim,-0.0396,0.0323,no_claim,-0.087,0.0199,no_claim
114195442142009895,Financial Times: “The huge spending projection from the world’s most valuable semiconductor group (Nvidia) follows multibillion-dollar US investment plans announced by other technology companies inclu,2025-03-20,NVDA,direct,direct: 'nvidia',no_clear_stance,,,SOXX,0,0.0065,-0.0008,no_claim,0.0382,0.001,no_claim,0.0321,0.0005,no_claim,-0.0471,-0.03,no_claim,-0.1295,0.0099,no_claim,-0.1713,0.002,no_claim
114198186465713235,"The Fake News is at it again, this time the Failing New York Times. They said, incorrectly, that Elon Musk is going to the Pentagon tomorrow to be briefed on any potential “war with China.” How ridicu",2025-03-21,TSLA,direct,direct: 'elon musk',no_clear_stance,,,XLY,0,0.0584,0.0426,no_claim,0.1847,0.1309,no_claim,0.2262,0.164,no_claim,0.1623,0.1133,no_claim,0.1374,0.152,no_claim,-0.0319,0.0373,no_claim
114200175082806882,"“Elon Musk will be briefed by the Pentagon about the USA’s top secret plans against China should there be a War,”according to the Failing New York Times, one of the worst and most purposely inaccurate",2025-03-21,TSLA,direct,direct: 'elon musk',negative,failing|worst,,XLY,0,0.0584,0.0426,opposite,0.1847,0.1309,opposite,0.2262,0.164,opposite,0.1623,0.1133,opposite,0.1374,0.152,opposite,-0.0319,0.0373,flat
114200244380161257,"I look forward to watching the sick terrorist thugs get 20 year jail sentences for what they are doing to Elon Musk and Tesla. Perhaps they could serve them in the prisons of El Salvador, which have b",2025-03-21,TSLA,direct,direct: 'tesla',no_clear_stance,,,XLY,0,0.0584,0.0426,no_claim,0.1847,0.1309,no_claim,0.2262,0.164,no_claim,0.1623,0.1133,no_claim,0.1374,0.152,no_claim,-0.0319,0.0373,no_claim
114205890583765400,"While the State of Maine has apologized for their Governor’s strong, but totally incorrect, statement about men playing in women’s sports while at the White House House Governor’s Conference, we have ",2025-03-22,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114212946787400937,But he doesn’t mind if criminals come into our Country. He is a Constitutional disaster! DJT,2025-03-23,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114259522932730072,“House GOP campaign chairman says voters will ‘reward us’ for the Trump-Musk DOGE cuts” https://apnews.com/article/musk-doge-trump-republicans-2026-elections-hudson-b853ea4198ad6f967b1acfc4e2954833,2025-03-31,TSLA,direct,direct: 'musk',no_clear_stance,,,XLY,0,0.0177,0.006,no_claim,0.0719,0.0409,no_claim,0.0132,0.0445,no_claim,-0.1157,-0.0316,no_claim,-0.0434,-0.0082,no_claim,0.0696,0.0693,no_claim
114265268833712885,"“Judges are just pretending to be Judges! They are making the law instead of deciding the law!” — Elon Musk. In other words, they are totally out of control, in complete violation of our Constitution.",2025-04-01,TSLA,direct,direct: 'elon musk',no_clear_stance,,,XLY,0,0.1106,0.0729,no_claim,0.0498,0.0748,no_claim,-0.0596,0.0075,no_claim,-0.1286,-0.0286,no_claim,-0.0019,0.034,no_claim,0.1018,0.0895,no_claim
114296933498836216,Seeing the World Champion Los Angeles Dodgers at 11:00 A.M. Exciting!!! DJT,2025-04-07,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114307832213562859,"This is a GREAT time to move your COMPANY into the United States of America, like Apple, and so many others, in record numbers, are doing. ZERO TARIFFS, and almost immediate Electrical/Energy hook ups",2025-04-09,AAPL,direct,direct: 'apple',positive,great|record,,XLK,0,0.1564,0.0245,match,0.1074,0.0282,match,0.1524,0.051,match,0.1756,0.0601,match,0.1899,0.0903,match,0.1485,-0.0612,flat
114308228615083777,"“Fixing Trade and Tariffs is a good thing!” Jamie Dimon, JPMorgan Chase, Chairman & CEO, on Maria B Show!",2025-04-09,JPM,direct,direct: 'jp morgan',no_clear_stance,,,XLF,0,0.1028,0.0105,no_claim,0.0688,0.007,no_claim,0.1115,0.0322,no_claim,0.0971,0.0039,no_claim,0.1336,0.0299,no_claim,0.1928,0.0397,no_claim
114308272725981913,THIS IS A GREAT TIME TO BUY!!! DJT,2025-04-09,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114313667304867320,"Great News! “The Big, Beautiful Bill” is coming along really well. Republicans are working together nicely. Biggest Tax Cuts in USA History!!! Getting close. DJT",2025-04-10,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114319533589155171,"We are doing really well on our TARIFF POLICY.  Very exciting for America, and the World!!! It is moving along quickly.  DJT",2025-04-11,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114319659315817918,"The House and Senate should push hard for more Daylight at the end of a day. Very popular and, most importantly, no more changing of the clocks, a big inconvenience and, for our government, A VERY COS",2025-04-11,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114336879485867419,“NVIDIA to Manufacture American-Made AI Supercomputers in US for First Time” https://blogs.nvidia.com/blog/nvidia-manufacture-american-made-ai-supercomputers-us/,2025-04-14,NVDA,direct,direct: 'nvidia',no_clear_stance,,,SOXX,0,0.0111,0.0123,no_claim,-0.0584,-0.0186,no_claim,-0.0854,-0.0409,no_claim,-0.1089,-0.0658,no_claim,-0.0176,-0.0646,no_claim,0.2196,-0.0125,no_claim
114341773968885783,"NVIDIA COMMITS 500 BILLION DOLLARS TO BUILD A.I. SUPERCOMPUTERS, PLUS, IN THE UNITED STATES, EXCLUSIVELY. This is very big and exciting news. All necessary permits will be expedited and quickly delive",2025-04-15,NVDA,direct,direct: 'nvidia',no_clear_stance,,,SOXX,0,0.0111,0.0123,no_claim,-0.0584,-0.0186,no_claim,-0.0854,-0.0409,no_claim,-0.1089,-0.0658,no_claim,-0.0176,-0.0646,no_claim,0.2196,-0.0125,no_claim
114342518862792060,"Our farmers are GREAT, but because of their GREATNESS, they are always put on the Front Line with our adversaries, such as China, whenever there is a Trade negotiation or, in this case, a Trade War. T",2025-04-15,BA,direct,direct: 'boeing',no_clear_stance,,,ITA,0,0.0136,0.0146,no_claim,0.0488,0.0505,no_claim,0.0322,0.0546,no_claim,0.1166,0.1137,no_claim,0.187,0.1396,no_claim,0.336,0.1968,no_claim
114359040827344338,"Prime Minister Georgia Meloni of Italy was great yesterday in her visit to the White House. She loves her country, and the impression she left on everyone was FANTASTIC!!!  DJT",2025-04-18,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114372126396548824,"HOPEFULLY RUSSIA AMD UKRAINE WILL MAKE A DEAL THIS WEEK. BOTH WILL THEN START TO DO BIG BUSINESS WITH THE UNITED STATES OF AMERICA, WHICH IS THRIVING, AND MAKE A FORTUNE!",2025-04-20,AMD,direct,direct: 'amd',no_clear_stance,,,SOXX,0,-0.0053,-0.0084,no_claim,0.0028,-0.0198,no_claim,0.0508,-0.0101,no_claim,0.1236,-0.0093,no_claim,0.1486,-0.0163,no_claim,0.3339,0.0353,no_claim
114379314291410399,"I have agreed to do the Commencement Address at two really GREAT places, the University of Alabama and, WEST POINT. Stay tuned for times and dates!!!  DJT",2025-04-22,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114393194962253226,"Harvard is an Anti-Semitic, Far Left Institution, as are numerous others, with students being accepted from all over the World that want to rip our Country apart. The place is a Liberal mess, allowing",2025-04-24,AAPL,direct,direct: 'apple',no_clear_stance,,,XLK,0,0.0141,-0.0038,no_claim,0.0183,0.0021,no_claim,0.0235,0.0025,no_claim,0.0337,-0.0066,no_claim,-0.043,-0.1068,no_claim,-0.0525,-0.16,no_claim
114393469355437462,"Boeing should default China for not taking the beautifully finished planes that China committed to purchase. This is just a small example of what China has done to the USA, for years… And, by the way,",2025-04-24,BA,direct,direct: 'boeing',no_clear_stance,,,ITA,0,0.0082,-0.0017,no_claim,0.0329,0.0165,no_claim,0.0312,0.0101,no_claim,0.0362,0.0014,no_claim,0.0861,0.0193,no_claim,0.1465,0.0301,no_claim
114414863742664682,"Great Pollster John McLaughlin, one of the most highly respected in the industry, has just stated that The Failing New York Times Poll, and the ABC/Washington Post Poll, about a person named DONALD J.",2025-04-28,AMZN,indirect,indirect: 'washington post',positive,great|respected|failing,WMT TGT COST,XLY,0,-0.0127,-0.0091,flat,-0.0143,-0.0178,flat,-0.0299,-0.0243,flat,-0.0007,-0.0161,flat,0.0155,-0.0048,flat,0.0837,-0.0096,flat
114414928875781139,"Warren Zeiders is FANTASTIC. Go to his concerts, and ENJOY! DJT",2025-04-28,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114421082367450202,"100 VERY SPECIAL DAYS. MAKE AMERICA GREAT AGAIN!!!Danielle Alvarez of the RNC, and Paul Perez of Border Patrol, were GREAT on Fox & Friends (First). Thank you both! DJT",2025-04-29,DJT,direct,direct: 'djt',no_clear_stance,,,SPY,1,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim,,,no_claim
114432954072144063,"NVIDIA CEO Jensen Huang: ""We're going to build NVIDIA's technology, the next generation of that, all here in the United States. Without the President's leadership, his policies, his support, and very ",2025-05-01,NVDA,direct,direct: 'nvidia',no_clear_stance,,,SOXX,0,0.0028,-0.0083,no_claim,-0.0032,-0.0065,no_claim,-0.0056,0.0007,no_claim,0.0279,0.0078,no_claim,0.1809,0.0454,no_claim,0.2032,0.0964,no_claim
114432976140064253,"It was my great honor to recognize some of the businesses making massive new investments right here in the United States of America—Hyundai, CMA CGM, Worldwide Amazon Stores, Venture Global LNG, Sieme",2025-05-01,JNJ,direct,direct: 'johnson & johnson',positive,great,,XLV,0,0.0003,0.0022,flat,-0.0069,-0.0022,flat,-0.0103,0.0219,match,-0.0026,0.0309,match,-0.0414,0.0186,flat,0.0042,0.048,match
114432976140064253,"It was my great honor to recognize some of the businesses making massive new investments right here in the United States of America—Hyundai, CMA CGM, Worldwide Amazon Stores, Venture Global LNG, Sieme",2025-05-01,MRK,direct,direct: 'merck',positive,great,,XLV,0,-0.012,-0.0101,flat,-0.016,-0.0114,flat,-0.0612,-0.029,opposite,-0.0777,-0.0442,opposite,-0.1115,-0.0515,opposite,-0.0943,-0.0506,flat
114432976140064253,"It was my great honor to recognize some of the businesses making massive new investments right here in the United States of America—Hyundai, CMA CGM, Worldwide Amazon Stores, Venture Global LNG, Sieme",2025-05-01,ABBV,direct,direct: 'abbvie',positive,great,,XLV,0,0.0169,0.0188,match,0.0046,0.0093,flat,-0.0411,-0.009,flat,-0.0491,-0.0156,flat,-0.0691,-0.0091,flat,-0.0419,0.0018,flat
114432976140064253,"It was my great honor to recognize some of the businesses making massive new investments right here in the United States of America—Hyundai, CMA CGM, Worldwide Amazon Stores, Venture Global LNG, Sieme",2025-05-01,AMZN,direct,direct: 'amazon',positive,great,WMT TGT COST,XLY,0,-0.0076,-0.0125,flat,-0.0266,-0.0208,flat,-0.0336,-0.0191,flat,0.0033,-0.0016,flat,0.0717,-0.004,flat,0.0795,0.0104,flat
