post_date,hour_utc,phase,weekend_flag,market_closed,intensity,scenario,n_instruments,is_targeted_action,has_action_verbs,execution_window,summary,macro_link,label_eod,hit_30m,hit_1h,hit_1mo,split
2025-02-11,16.85,regular,0,0,8,Law and Order,2,1,1,Regular_Hours,New DEA admin announced,Tougher law enforcement,1,1,0,1,train
2025-02-12,16.88,regular,0,0,8,Geopolitics / Peace,4,1,1,Regular_Hours,US and Russia to work together to end Ukraine war,Reduced conflict lowers oil prices and boosts stocks,-1,1,1,0,train
2025-02-13,11.87,premarket,0,1,8,Geopolitics / Peace,2,1,0,Noise_Zone,Talks with Russia and Ukraine may end the war,Reduced conflict lowers defense spending,-1,,,0,train
2025-02-14,3.33,premarket,0,1,8,Trade Policy,4,0,0,Noise_Zone,White House announces reciprocal trade and tariffs,Trade barriers impact exports and imports,0,,,1,train
2025-02-14,20.6,afterhours,0,1,9,Trade War,4,1,0,Monday_Open_Shock,"Trump orders tariffs on EU, India, Japan",Trade war hurts global trade,0,,,1,train
2025-02-16,19.22,weekend,1,1,8,Geopolitics / Trade,3,0,0,Monday_Open_Shock,Nominee for EXIM Bank CEO aims to boost US energy and manufacturing,US trade policy and export growth,1,,,1,train
2025-02-20,0.67,premarket,0,1,6,Geopolitics / Peace,1,1,0,Noise_Zone,Elon Musk supports President's Ukraine stance,Reduced conflict lowers defense spending,-1,,,0,train
2025-02-20,23.15,afterhours,0,1,8,Immigration Policy,2,0,0,Noise_Zone,Thanks Republicans for funding border security,"Tighter borders impact labor, trade",0,,,1,train
2025-02-22,0.5,weekend,1,1,8,Geopolitics / Leadership,3,0,1,Monday_Open_Shock,New Chairman of Joint Chiefs nominated,US military leadership change,1,,,1,train
2025-02-24,19.85,regular,0,0,8,Geopolitics / War,2,1,0,Regular_Hours,US helping Ukraine heavily,Increased aid boosts defense sector,1,1,1,1,train
2025-02-25,23.08,afterhours,0,1,8,Trade Policy,4,0,0,Noise_Zone,US to study copper imports and potentially impose tariffs,Tariffs can boost domestic production,0,,,1,train
2025-02-26,19.47,regular,0,0,8,Economy / Inflation,3,0,0,Regular_Hours,"Border crossings down, energy unleashed, fighting high prices","Lower energy prices, reduced inflation",0,1,1,0,train
2025-02-27,13.77,regular,0,0,9,Trade War,4,1,0,Regular_Hours,US to impose tariffs on China and others due to drug issues,"Tariffs can reduce trade, impacting economies",0,,,0,train
2025-03-01,18.37,weekend,1,1,9,Immigration Policy,3,1,0,Monday_Open_Shock,Lowest number of illegal immigrants in February,Tighter border control affects labor market,1,,,1,train
2025-03-03,16.63,regular,0,0,8,Geopolitics / Conflict,4,1,0,Regular_Hours,Zelenskyy's statement may harm peace talks,Escalation hurts global trade,1,0,0,1,train
2025-03-04,15.22,regular,0,0,8,Trade Policy,3,0,0,Regular_Hours,No tariffs if companies move to US,Tariff removal boosts US economy,1,1,1,1,train
2025-03-05,18.17,regular,0,0,8,Geopolitics / Trade,2,1,0,Regular_Hours,US blames Canada's border policies for fentanyl and illegal aliens,Trade tensions may rise,0,0,1,0,train
2025-03-06,15.8,regular,0,0,6,Geopolitics / Trade,2,1,0,Regular_Hours,Trudeau using tariffs to run for PM,Trade tensions impact markets,0,0,1,1,train
2025-03-07,14.97,regular,0,0,8,Trade War,4,0,0,Regular_Hours,UAW head says tariffs are necessary,Tariffs impact trade balances,1,1,1,1,train
2025-03-08,2.73,weekend,1,1,8,Geopolitics / Peace,2,1,0,Monday_Open_Shock,"US shifting to realism, seeking peace in Ukraine",Reduced conflict lowers defense spending,0,,,0,train
2025-03-11,14.25,regular,0,0,10,Trade War,5,1,1,Regular_Hours,US to impose 50% tariff on Canadian steel and aluminum,"Trade tensions escalate, affecting metal and auto industries",0,1,1,1,train
2025-03-13,11.97,premarket,0,1,9,Trade War,4,1,1,Noise_Zone,US threatens EU with tariffs on wine,Trade war escalation hurts EU exports,0,0,0,1,train
2025-03-14,13.55,regular,0,0,8,Geopolitics / Peace,3,1,0,Regular_Hours,"Leader hopes for end to war, urges Putin to spare troops",War outcome affects global markets,-1,1,1,0,train
2025-03-15,17.03,weekend,1,1,6,Geopolitics / Peace,2,1,0,Monday_Open_Shock,Trump denies report of 9-hour wait to meet Putin,Perception of US-Russia relations affects defense sector,0,,,0,train
2025-03-17,14.22,regular,0,0,6,Immigration Policy,2,1,0,Regular_Hours,"Trump's policies worked, Biden didn't continue them","Border control affects labor market, trade",1,1,1,1,train
2025-03-17,22.77,afterhours,0,1,9,Energy Policy,3,1,1,Noise_Zone,US to start using coal energy again,Increased coal use may boost energy production,1,1,1,1,train
2025-03-19,2.37,premarket,0,1,6,Geopolitics / Peace,3,0,0,Noise_Zone,US and UAE strengthen ties,Improved relations boost trade,1,0,1,0,train
2025-03-19,17.75,regular,0,0,8,Energy Policy,3,0,0,Regular_Hours,Trump admin supports nuclear energy,Nuclear energy boost could impact oil prices,0,1,1,0,train
2025-03-19,20.43,afterhours,0,1,6,Geopolitics / Peace,1,0,0,Noise_Zone,Trump would've prevented war,US foreign policy affects global stability,-1,,,0,train
2025-03-20,15.23,regular,0,0,8,Immigration Policy,3,0,0,Regular_Hours,Border arrests increased under new policy,Tighter border control affects labor market,0,0,1,1,train
2025-03-24,10.35,premarket,0,1,8,Immigration Policy,2,0,1,Monday_Open_Shock,US enforcing immigration laws,Border security affects labor market,0,0,0,1,train
2025-03-26,23.55,afterhours,0,1,8,Geopolitics / Peace,3,1,0,Noise_Zone,Trump endorses Senator Bill Hagerty,"Economic growth, military spending",0,0,0,1,train
2025-03-26,23.82,afterhours,0,1,8,Politics / Endorsement,3,0,0,Noise_Zone,Senator endorsed for re-election,Pro-business policies may boost economy,0,0,0,0,train
2025-03-27,18.2,regular,0,0,8,US Politics,3,0,0,Regular_Hours,Trump asks Elise Stefanik to stay in Congress,"Tax cuts, jobs, economic growth",0,0,0,1,train
2025-03-29,16.83,weekend,1,1,8,US Politics / Election,3,0,0,Monday_Open_Shock,Jimmy Patronis endorsed for Congress,"Tax cuts, energy dominance",0,1,1,1,train
2025-03-31,18.25,regular,0,0,9,Geopolitics / Conflict,3,1,0,Regular_Hours,US is attacking Houthi terrorists,Conflict affects oil shipping,0,0,0,0,train
2025-04-01,0.05,premarket,0,1,8,Geopolitics / Trade,3,1,0,Noise_Zone,Trump imposes tariff on Venezuelan oil buyers,Trade tensions impact energy market,0,0,1,0,train
2025-04-01,13.93,regular,0,0,8,US Politics / Election,3,0,0,Regular_Hours,Jimmy Patronis endorsed for Congress,"Economic growth, tax cuts, energy dominance",1,0,1,1,train
2025-04-02,21.67,afterhours,0,1,8,Fiscal Policy,4,0,1,Noise_Zone,Lawmakers to pass big bill with tax cuts and spending cuts,Fiscal policy affects economy and markets,0,0,0,0,train
2025-04-04,17.57,regular,0,0,8,Geopolitics / Trade,3,1,1,Regular_Hours,US working on deal to save TikTok,Trade tensions with China,1,1,1,1,train
2025-04-07,10.82,premarket,0,1,8,Trade War,4,1,0,Monday_Open_Shock,"US is benefiting from tariffs, China is hurting",Tariffs impact trade balances and inflation,-1,1,1,1,train
2025-04-07,14.53,regular,0,0,8,Economic Policy,3,0,0,Regular_Hours,"Trump won't back down, rates and oil prices falling",Lower rates and oil prices boost economy,-1,0,0,1,train
2025-04-09,11.73,premarket,0,1,8,Business Investment,3,1,0,Noise_Zone,US is a great place to move a company,Increased business investment boosts economy,1,1,1,1,train
2025-04-09,17.3,regular,0,0,10,Trade War,4,1,1,Regular_Hours,US raises tariff on China to 125%,Trade war escalation affects global markets,0,1,1,0,train
2025-04-11,13.58,regular,0,0,8,Geopolitics / Peace,2,1,0,Regular_Hours,War in Ukraine is senseless,Conflict affects global markets,0,0,1,0,train
2025-04-14,1.22,premarket,0,1,8,Geopolitics / Peace,2,1,1,Monday_Open_Shock,Trump claims 60 Minutes defamed him,Election disputes affect market sentiment,0,1,1,0,train
2025-04-15,14.77,regular,0,0,8,Trade War,4,1,0,Regular_Hours,"China reneged on trade deal, hurting US farmers",Trade tensions impact agriculture and aerospace exports,0,1,0,1,train
2025-04-16,11.43,premarket,0,1,8,Immigration,2,0,0,Noise_Zone,Biden's open border policy lets criminals in,Border policy affects labor market and crime rates,1,0,1,0,train
2025-04-17,10.2,premarket,0,1,8,Monetary Policy,3,0,0,Noise_Zone,Author criticizes Fed's Powell for not cutting interest rates,Lower interest rates can boost economy,1,1,1,1,train
2025-04-20,21.18,weekend,1,1,6,Geopolitics / Tension,2,1,0,Monday_Open_Shock,China made a move in the Pacific,Increased tensions affect trade,1,1,1,0,train
2025-04-20,21.22,weekend,1,1,8,Trade War,4,1,0,Monday_Open_Shock,List of non-tariff trade cheating methods,Trade barriers impact exports,1,1,1,0,train
2025-04-22,15.17,regular,0,0,6,Geopolitics / Peace,2,1,0,Regular_Hours,US and Israel agree on issues,Improved relations boost trade,1,1,1,1,train
2025-04-24,13.9,regular,0,0,6,Corporate Governance,2,1,0,Regular_Hours,Trump criticizes FoxNews and WSJ,Media ownership affects market sentiment,-1,1,1,1,train
2025-04-25,18.53,regular,0,0,8,Geopolitics / Peace,3,1,1,Regular_Hours,Ukraine hasn't signed Rare Earths Deal with US,Trade deals impact commodity markets,-1,1,0,1,train
2025-04-26,13.58,weekend,1,1,8,Geopolitics / Conflict,3,1,1,Monday_Open_Shock,"Trump blames Obama, Biden for Ukraine war","Escalation affects defense, energy markets",1,0,0,0,train
2025-04-27,13.1,weekend,1,1,8,Fiscal Policy,3,0,0,Monday_Open_Shock,Tariffs will cut income taxes and create jobs,Tariff revenue funds tax cuts,1,1,1,1,train
2025-04-28,12.6,premarket,0,1,8,Geopolitics / Union,4,1,0,Monday_Open_Shock,Canada should join US as 51st state,Trade and tax policies,1,1,1,1,train
2025-04-28,18.88,regular,0,0,8,Geopolitics / Domestic Policy,2,0,0,Regular_Hours,Congressman endorsed for re-election,Border security and military spending,1,1,1,1,train
2025-04-29,15.15,regular,0,0,8,Trade Deals,3,0,0,Regular_Hours,Trump is negotiating trade deals,Trade deals impact tariffs and exports,1,0,0,1,train
2025-04-30,13.22,premarket,0,1,8,Economic Policy,3,0,0,Noise_Zone,Biden's policies will boost the US economy,Tariffs and relocation of companies to the US,1,,,1,train
2025-05-02,3.6,premarket,0,1,8,US Politics,3,1,0,Noise_Zone,Trump criticizes Democrats for impeachment attempts,Polarized politics affects market sentiment,0,0,0,0,train
2025-05-04,23.3,weekend,1,1,9,Trade War,4,0,1,Monday_Open_Shock,US to impose 100% tariff on foreign-made movies,Protectionism to boost US film industry,0,0,0,0,train
2025-05-05,22.82,afterhours,0,1,8,Geopolitics / Nationalism,2,0,1,Noise_Zone,US to declare new national holidays for WWI and WWII victories,Increased nationalism may lead to protectionism and defense spending,1,,,1,train
2025-05-07,0.07,premarket,0,1,8,Domestic Politics,3,0,0,Noise_Zone,Congressman endorsed for re-election,Economic policies may influence markets,0,0,0,1,train
2025-05-08,0.93,premarket,0,1,8,Trade Deal,3,0,0,Noise_Zone,Big trade deal with a respected country announced,Increased trade boosts economy,0,0,0,1,train
2025-05-08,20.63,afterhours,0,1,8,Geopolitics / Peace,4,1,1,Noise_Zone,US calls for 30-day ceasefire in Russia/Ukraine,"Reduced conflict lowers oil prices, boosts stocks",-1,1,1,0,train
2025-05-08,22.02,afterhours,0,1,8,Geopolitics / Peace,2,0,0,Noise_Zone,Congressman endorsed for re-election,Increased military spending,0,0,0,1,train
2025-05-08,22.03,afterhours,0,1,8,Geopolitics / Peace,2,0,0,Noise_Zone,Congressman endorsed for strong military,Strong military spending boosts defense sector,0,0,0,1,train
2025-05-08,22.05,afterhours,0,1,8,Domestic Politics,3,0,0,Noise_Zone,Congressman Tom Kean endorsed for NJ district,"Pro-business, tax cut policies may boost economy",0,0,0,1,train
2025-05-09,12.72,premarket,0,1,8,Trade Deals,2,0,0,Noise_Zone,New trade deals are coming,Increased trade boosts economy,1,,,1,train
2025-05-09,21.68,afterhours,0,1,8,Domestic Politics,3,0,0,Monday_Open_Shock,Congressman Riley Moore endorsed for re-election,Pro-business policies may boost economy,1,0,0,1,train
2025-05-10,11.92,weekend,1,1,9,Geopolitics / Peace,2,1,1,Monday_Open_Shock,India and Pakistan agree to ceasefire,Reduced conflict lowers global risk,-1,1,1,1,train
2025-05-11,16.27,weekend,1,1,8,Geopolitics / Peace,4,1,1,Monday_Open_Shock,Ukraine should meet with Putin to negotiate a ceasefire,"Reduced conflict lowers oil prices, boosts stocks",-1,1,1,1,train
2025-05-12,17.07,regular,0,0,8,Geopolitics / Domestic Policy,3,0,1,Regular_Hours,Republicans must unify behind a new bill,Policy changes impact economy,1,1,1,1,train
2025-05-15,11.88,premarket,0,1,8,Immigration Policy,2,0,0,Noise_Zone,Birthright citizenship is being challenged,Immigration policy affects labor market and economy,0,,,1,train
2025-05-16,15.03,regular,0,0,8,Domestic Politics,2,0,0,Regular_Hours,Trump endorses Senator Shelley Moore Capito,Energy and border policies impact economy,0,0,0,1,train
2025-05-17,14.45,weekend,1,1,8,Trade Policy,3,1,0,Monday_Open_Shock,"Walmart should absorb tariffs, not raise prices",Tariff impact on consumer prices,0,1,1,1,train
2025-05-21,22.43,afterhours,0,1,6,Geopolitics / Defense,1,0,0,Noise_Zone,Excitement about missile defense,Defense spending boost,0,,,1,train
2025-05-23,9.98,premarket,0,1,8,Energy Policy,3,0,0,Noise_Zone,"UK should stop windmills, drill in North Sea",Energy policy affects oil prices,1,1,1,1,train
2025-05-23,19.42,regular,0,0,9,Economic Policy,4,0,1,Regular_Hours,"US Steel to stay in US, create 70,000 jobs","Investment, jobs boost economy",1,0,0,0,train
2025-05-25,22.25,weekend,1,1,9,Trade Policy,3,0,0,Monday_Open_Shock,"EU tariff deadline extended to July 9, 2025",Reduced trade tensions,0,,,0,train
2025-05-26,11.1,premarket,0,1,8,Immigration / Law and Order,2,0,0,Monday_Open_Shock,Author criticizes open borders and judges,Border policy affects labor market and economy,1,,,1,train
2025-05-27,13.42,premarket,0,1,8,Trade Policy,3,1,0,Noise_Zone,"US imposed 50% tariff on EU, EU wants to meet","Tariffs impact trade, meeting may ease tensions",1,1,1,0,train
2025-05-27,22.03,afterhours,0,1,8,Geopolitics / Domestic Policy,2,1,1,Noise_Zone,Author claims to have restored fishing rights in Maine,US fishing industry and trade policy,0,0,0,1,train
2025-05-30,23.27,afterhours,0,1,9,Trade War,4,0,0,Monday_Open_Shock,Tariffs on steel and aluminum increased to 50%,"Higher tariffs hurt imports, help domestic producers",0,0,0,1,train
2025-06-02,16.4,regular,0,0,8,Geopolitics / Security,3,0,0,Regular_Hours,US will secure borders and prosecute terrorism,Border security affects immigration and trade,1,1,0,1,train
2025-06-02,23.42,afterhours,0,1,8,Trade War,4,0,0,Noise_Zone,US must counter tariffs to survive,Trade war escalation hurts economy,0,0,0,0,train
2025-06-04,16.67,regular,0,0,8,Geopolitics / Conflict,3,1,0,Regular_Hours,US and Russia discussed Ukraine and Iran conflicts,Escalating tensions affect defense and energy markets,1,1,1,0,train
2025-06-05,15.53,regular,0,0,8,Fiscal Policy,3,0,1,Regular_Hours,CBO says tariffs will reduce deficit by $2.8 trillion,Tariffs increase gov revenue,1,1,1,1,train
2025-06-06,12.97,premarket,0,1,8,Economic Growth,3,0,0,Noise_Zone,US economy is improving,Stronger economy boosts markets,1,1,1,1,train
2025-06-06,18.48,regular,0,0,6,Economic Policy,3,1,0,Regular_Hours,Trump plans to build a ballroom at the White House,Infrastructure spending,1,0,1,1,train
2025-06-08,21.1,weekend,1,1,9,Geopolitics / Domestic Security,2,0,1,Monday_Open_Shock,LA invaded by illegals and criminals,Increased defense and security spending,0,0,0,0,train
2025-06-11,0.37,premarket,0,1,8,Geopolitics / Law and Order,3,0,0,Noise_Zone,Author vows to stop lawlessness in US,Border security and immigration policy,1,0,1,1,train
2025-06-12,13.03,premarket,0,1,8,Trade Deal,3,1,0,Noise_Zone,China deal is great,Trade deal boosts economy,0,0,0,1,train
2025-06-12,21.15,afterhours,0,1,8,Geopolitics / Peace,2,1,1,Noise_Zone,US seeks diplomatic resolution with Iran,Reduced conflict risk,-1,1,1,1,train
2025-06-13,11.57,premarket,0,1,8,Geopolitics / Peace,2,1,0,Noise_Zone,Iran given ultimatum to make a deal,Trade deal impacts oil prices,-1,1,0,1,train
2025-06-15,13.68,weekend,1,1,8,Geopolitics / Peace,3,1,0,Monday_Open_Shock,Author claims they can broker peace between Iran and Israel,Reduced conflict boosts trade and stability,1,1,1,1,train
2025-06-16,22.5,afterhours,0,1,8,Geopolitics / Conflict,3,1,1,Noise_Zone,Iran should not have nuclear weapons,Conflict escalation affects oil prices,1,1,1,0,train
2025-06-17,5.25,premarket,0,1,8,Geopolitics / Conflict,3,1,0,Noise_Zone,Macron wrongly said Trump left G7 for Israel-Iran ceasefire,Geopolitical tensions affect global markets,1,0,1,1,train
2025-06-17,14.12,regular,0,0,8,Immigration Policy,2,0,0,Regular_Hours,ICE will keep enforcing border security,Tighter border control affects labor market,1,0,0,1,train
2025-06-18,21.22,afterhours,0,1,8,Immigration Policy,2,0,0,Noise_Zone,US Border Patrol reports low release numbers,Tighter border control may reduce labor supply,1,,,0,train
2025-06-19,20.15,afterhours,0,1,6,Geopolitics / Security,1,0,0,Noise_Zone,Border Patrol union supports Trump's border security bill,Increased border security spending,1,1,1,1,train
2025-06-20,21.97,afterhours,0,1,9,Geopolitics / Peace,3,1,1,Monday_Open_Shock,Treaty between Congo and Rwanda to end war,Reduced conflict boosts global stability,1,1,1,1,train
2025-06-21,19.35,weekend,1,1,8,Energy Policy,2,1,0,Monday_Open_Shock,Author opposes green tax credits,Subsidy removal impacts renewables,1,0,0,0,train
2025-06-22,0.22,weekend,1,1,9,Geopolitics / War,3,1,0,Monday_Open_Shock,US had a successful military operation in Iran,Conflict escalation affects oil prices and defense stocks,0,0,0,0,train
2025-06-22,20.75,weekend,1,1,8,Geopolitics / Conflict,3,1,0,Monday_Open_Shock,Iran's nuclear sites were heavily damaged,Conflict escalation affects oil prices,0,0,0,0,train
2025-06-23,13.58,regular,0,0,8,Geopolitics / Energy,1,0,0,Regular_Hours,Keep oil prices down,Lower oil prices hurt enemy's revenue,-1,1,1,1,train
2025-06-23,19.87,regular,0,0,8,Geopolitics / Peace,3,1,0,Regular_Hours,Iran responded weakly to US attack,Reduced conflict lowers oil prices,-1,1,1,1,train
2025-06-23,22.03,afterhours,0,1,9,Geopolitics / Peace,4,1,0,Noise_Zone,Israel and Iran agree to a ceasefire,Reduced conflict lowers oil prices and boosts stocks,-1,1,1,1,train
2025-06-24,5.13,premarket,0,1,9,Geopolitics / Peace,2,0,0,Noise_Zone,Ceasefire is in effect,Reduced conflict lowers uncertainty,-1,0,1,1,train
2025-06-24,13.23,premarket,0,1,8,Geopolitics / Trade,2,1,0,Noise_Zone,China can buy oil from Iran and US,Trade deals impact oil prices,0,1,1,0,train
2025-06-24,15.28,regular,0,0,8,Geopolitics / Peace,3,1,0,Regular_Hours,Leader claims to have stopped war and destroyed nuclear facilities,Reduced conflict lowers oil prices and defense spending,-1,0,1,1,train
2025-06-25,1.5,premarket,0,1,8,Geopolitics / War,3,1,0,Noise_Zone,Iran's nuclear sites are destroyed,Conflict escalation affects oil prices,1,1,1,0,train
2025-06-25,12.5,premarket,0,1,8,Geopolitics / Conflict,3,1,0,Noise_Zone,US praises military strike in Iran,Increased tensions may raise oil prices,1,1,1,0,train
2025-06-25,16.9,regular,0,0,6,Geopolitics / Peace,1,0,0,Regular_Hours,Trump seeks peace,Peace reduces defense spending,-1,1,1,0,train
2025-06-25,21.22,afterhours,0,1,6,Geopolitics / Conflict,2,0,0,Noise_Zone,Defense secretary to hold news conference to defend US pilots,Geopolitical tensions can impact defense sector,0,1,1,1,train
2025-06-26,13.35,premarket,0,1,8,Geopolitics / Peace,3,0,0,Noise_Zone,NATO Summit was unified and productive,Increased cooperation boosts global stability,-1,,,1,train
2025-06-26,21.82,afterhours,0,1,8,Immigration,3,0,0,Noise_Zone,New border legislation is coming to Congress,"Tighter borders impact labor, trade",1,1,1,1,train
2025-06-28,2.7,weekend,1,1,6,Geopolitics / Disinformation,2,1,0,Monday_Open_Shock,Trump denies report of giving Iran $30B,Geopolitics affects oil prices,1,1,1,1,train
2025-06-28,22.95,weekend,1,1,8,Geopolitics / Peace,2,1,0,Monday_Open_Shock,"US supports Israel's Netanyahu, opposes his prosecution",US-Israel relations impact Middle East stability,0,0,1,0,train
2025-06-29,4.42,weekend,1,1,8,Domestic Politics,3,0,0,Monday_Open_Shock,President praises Senate bill passage,Fiscal policy changes,1,1,1,1,train
2025-06-29,17.48,weekend,1,1,8,Immigration,3,0,0,Monday_Open_Shock,Biden let in 21 million people,"Labor market, border security",1,1,1,1,train
2025-06-30,22.13,afterhours,0,1,8,Trade Policy,3,0,0,Noise_Zone,US tariff revenue mentioned,Tariff revenue impacts trade balance,1,,,1,train
2025-07-01,18.5,regular,0,0,8,Law and Order,3,0,0,Regular_Hours,Renovate Alcatraz prison,Immigration policy impacts labor market,0,1,0,1,train
2025-07-02,12.62,premarket,0,1,8,Geopolitics / Peace,1,0,0,Noise_Zone,US Air Force and Space Force met 2025 recruiting goals early,Strong military recruitment indicates economic stability,0,,,1,train
2025-07-02,14.42,regular,0,0,8,Trade Deal,2,0,0,Regular_Hours,Made trade deal with Vietnam,Increased trade boosts US exports,0,0,0,0,train
2025-07-02,22.73,afterhours,0,1,8,Immigration Policy,2,0,0,Noise_Zone,US border encounters hit record low,Tighter border control may reduce labor supply,0,0,0,1,train
2025-07-05,20.8,weekend,1,1,8,Geopolitics / Strength,2,0,0,Monday_Open_Shock,US will be strongest country,"Stronger border, economy, military",1,0,1,1,train
2025-07-09,14.5,regular,0,0,8,Geopolitics / Peace,2,0,0,Regular_Hours,Trump's NATO defense deal is a win for America,Increased defense spending,1,1,1,1,train
2025-07-11,14.6,regular,0,0,4,Geopolitics / Military,1,0,0,Regular_Hours,Pete Hegseth discussed modern warfare on FoxNews,Increased military spending,1,1,0,1,train
2025-07-12,18.02,weekend,1,1,8,Fiscal Policy,3,0,0,Monday_Open_Shock,US Treasury posts unexpected surplus,Tariff receipts boost gov revenue,1,1,1,0,train
2025-07-16,13.62,regular,0,0,8,Domestic Politics,2,1,0,Regular_Hours,Author criticizes Democrats and media,Polarization affects policy and markets,0,1,1,0,train
2025-07-18,22.63,afterhours,0,1,8,Domestic Politics,3,0,0,Monday_Open_Shock,Congresswoman endorsed for re-election,"Tax cuts, deregulation, energy dominance",0,1,1,1,train
2025-07-18,22.65,afterhours,0,1,8,Geopolitics / Peace,2,0,0,Monday_Open_Shock,Congressman endorsed for re-election,Strong military and border control,0,0,0,0,train
2025-07-18,22.67,afterhours,0,1,8,Domestic Politics,3,0,0,Monday_Open_Shock,Congressman endorsed for re-election,Policy impact on agriculture and energy,0,0,0,1,train
2025-07-18,22.85,afterhours,0,1,8,Geopolitics / Domestic Politics,2,0,0,Monday_Open_Shock,Lawsuit filed against WSJ and owners,Media and corporate ownership under scrutiny,1,0,0,0,train
2025-07-20,19.52,weekend,1,1,8,Immigration Policy,3,0,1,Monday_Open_Shock,CBP officer shot by illegal alien,Border security affects labor market,0,0,0,0,train
2025-07-21,21.88,afterhours,0,1,2,Geopolitics / Peace,2,0,0,Noise_Zone,Tunica-Biloxi Tribe to nominate Trump for Nobel Peace Prize,Positive geopolitical news,0,0,0,1,train
2025-07-22,17.5,regular,0,0,9,Trade Deal,3,0,0,Regular_Hours,US and Philippines agree on trade deal with zero tariffs,Increased trade boosts economic growth,1,1,1,0,train
2025-07-23,0.53,premarket,0,1,9,Trade Deal,3,1,1,Noise_Zone,Trump signed a large trade deal with Japan,Increased trade boosts economic growth,1,1,1,1,train
2025-07-23,13.6,regular,0,0,8,Trade Policy,3,1,0,Regular_Hours,Tariffs lowered if countries open markets,Trade agreements impact exports,0,0,1,0,train
2025-07-24,23.93,afterhours,0,1,8,Election,4,0,0,Noise_Zone,Trump endorses Mike Rogers for Senate,Pro-business policies may boost economy,1,0,0,0,train
2025-07-25,0.87,premarket,0,1,8,Domestic Politics,3,1,0,Noise_Zone,President claims Democrats are distracting from his achievements,Polarized politics may impact policy and market sentiment,1,0,0,1,train
2025-07-26,16.38,weekend,1,1,8,Geopolitics / Peace,2,0,1,Monday_Open_Shock,US brokers ceasefire between Cambodia and Thailand,Reduced conflict boosts trade and growth,0,0,0,1,train
2025-07-28,21.7,afterhours,0,1,2,Geopolitics / Peace,1,0,0,Noise_Zone,Trump deserves Nobel Peace Prize,Peace reduces defense spending,-1,,,1,train
2025-07-29,14.32,regular,0,0,6,Geopolitics / Conflict,2,1,0,Regular_Hours,Trump takes on tough fights,Conflict risks impact markets,1,1,1,0,train
2025-07-30,19.87,regular,0,0,8,Trade Deals,3,1,0,Regular_Hours,US making trade deals with multiple countries,"Reduced tariffs, increased trade",1,0,0,1,train
2025-07-31,4.48,premarket,0,1,8,Geopolitics / Trade,2,1,1,Noise_Zone,"Canada backs Palestine statehood, impacting US-Canada trade",Trade deal uncertainty,0,,,0,train
2025-07-31,15.05,regular,0,0,8,Geopolitics / Trade,4,1,1,Regular_Hours,US and Mexico extend trade deal for 90 days,Tariffs and trade barriers impact US-Mexico trade,1,0,1,0,train
2025-08-01,14.4,regular,0,0,8,US Politics,4,0,0,Regular_Hours,Trump endorses Michael Whatley for US Senate,Potential policy shifts under new senator,0,0,1,1,train
2025-08-02,11.93,weekend,1,1,6,Immigration,2,0,0,Monday_Open_Shock,Border numbers are down with zero illegal entries,Immigration affects labor market and economy,0,1,1,0,train
